date,nifty_nav,vixgate_nav,options_nav,straddle_nav,combo_70_20_10,combo_80_20,combo_50_50
2022-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-01-04,1.0101868742352642,1.005513728065463,1.0101868742352642,1.0101868742352642,1.0069156719164034,1.0064483572994232,1.0078503011503637
2022-01-05,1.0169951147771399,1.0092234670280769,1.0169951147771399,1.0169951147771399,1.0115549613527959,1.0107777965778895,1.0131092909026083
2022-01-06,1.0068196540961696,1.0072050200940208,1.0068196540961696,1.0068196540961696,1.0070894102946657,1.0071279468944505,1.0070123370950952
2022-01-07,1.0106095081777562,1.0072050200940208,1.0106095081777562,1.0106095081777562,1.0082263665191415,1.0078859177107677,1.0089072641358885
2022-01-10,1.021423352220734,1.0072050200940208,1.021423352220734,1.021423352220734,1.011470519732035,1.0100486865193634,1.0143141861573775
2022-01-11,1.0243990763664297,1.0072050200940208,1.0243990763664295,1.0243990763664295,1.0123632369757436,1.0106438313485024,1.015802048230225
2022-01-12,1.033283808111336,1.0072050200940208,1.0332838081113358,1.0332838081113358,1.0150286564992155,1.0124207776974836,1.0202444141026783
2022-01-13,1.0358624957032954,1.0072050200940208,1.0358624957032954,1.0358624957032954,1.0158022627768033,1.0129365152158756,1.021533757898658
2022-01-14,1.0357461439362223,1.0072050200940208,1.0357461439362223,1.0357461439362223,1.0157673572466814,1.012913244862461,1.0214755820151216
2022-01-17,1.0387162167103743,1.0073816020455328,1.0387162167103743,1.0387162167103743,1.0167819864449854,1.013648524978501,1.0230489093779536
2022-01-18,1.027650055549658,1.0053668388414418,0.9921231734663242,1.027650055549658,1.0049464274372402,1.0027181057664183,0.998745006153883
2022-01-19,1.017741206632095,1.0053668388414418,0.9825568832876771,1.017741206632095,1.0020422845097543,1.0008048477306888,0.9939618610645595
2022-01-20,1.0074493941840517,1.0053668388414418,0.9726208690077853,1.0074493941840517,0.9990259004089715,0.9988176448747105,0.9889938539246136
2022-01-21,0.9995149793481154,1.0053668388414418,0.9649607547654746,0.9995149793481154,0.9967004360769158,0.9972856220262484,0.9851637968034582
2022-01-24,0.9729599601434251,1.0053668388414418,0.9393237689233196,0.9729599601434252,0.9889175369880158,0.9921582248578174,0.9723453038823807
2022-01-25,0.9802702862630228,1.0053668388414418,0.9463813698154537,0.9802702862630229,0.9910600897784024,0.9935697450362442,0.9758741043284478
2022-01-27,0.9707501630586907,1.0053668388414418,0.9371903667164265,0.9707501630586909,0.9882698768381638,0.9917315444164387,0.9712786027789342
2022-01-28,0.9702848668016052,1.0053668388414418,0.9367411562126283,0.9702848668016054,0.9881335051116955,0.991641702315679,0.9710539975270351
2022-01-31,0.983782225838115,1.0053668388414418,0.9497718981547909,0.9837822258381154,0.9920893894037791,0.9942478507041116,0.9775693684981164
2022-02-01,0.9972285009083195,1.0053668388414418,0.9627533221540502,0.9972285009083198,0.9960303017106514,0.9968441355039634,0.984060080497746
2022-02-02,1.008754306954578,1.0053668388414418,0.973880669649064,1.0087543069545781,0.9994083518142799,0.9990696050029662,0.9896237542452528
2022-02-03,0.9962838353708928,1.0053668388414418,0.9618413146415759,0.9962838353708932,0.9957534336544139,0.9966617340014686,0.9836040767415088
2022-02-04,0.9937932426882887,1.0053668388414418,0.9594368242192447,0.993793242688289,0.9950234763016872,0.9961808359170023,0.9824018315303433
2022-02-07,0.9766193894346833,1.0053668388414418,0.9428566881129915,0.9766193894346835,0.9899900637550759,0.9928648086957517,0.9741117634772167
2022-02-08,0.9796348948035971,1.0053668388414418,0.9457679444692335,0.9796348948035972,0.9908738655632158,0.9934470599670001,0.9755673916553377
2022-02-09,0.9908146374512181,1.0053668388414418,0.9565611923206745,0.9908146374512182,0.9941504893982661,0.9956057095372883,0.9809640155810582
2022-02-10,0.9988738257059394,1.0115445305734467,0.9643417664408791,0.9988738257059394,1.0008369072601828,1.0021039777469332,0.9879431485071629
2022-02-11,0.9857623112912852,1.0041971846382345,0.951683530089149,0.9857623112912852,0.9918509663937225,0.9936944537284174,0.9779403573636918
2022-02-14,0.9555819926470116,0.9870191216368729,0.9225465750061599,0.9555819926470116,0.9709808994117443,0.9741246123107302,0.9547828483215164
2022-02-15,0.9844970689327707,0.9866243139882183,0.9504620284143769,0.9844970689327707,0.9791791323679052,0.9793918568734499,0.9685431712012975
2022-02-16,0.9827808249628395,0.9866243139882183,0.9488051167013912,0.9827808249628395,0.9786761256283151,0.9790604745308528,0.9677147153448047
2022-02-17,0.981782305178939,0.9866243139882183,0.9478411167371794,0.981782305178939,0.9783834736570827,0.9788676745380105,0.9672327153626988
