entry_date,expiry_date,direction,strike,entry_premium,exit_premium,exit_date,exit_reason,pnl_pts,pnl_pct,spot_at_entry,bull_score,bear_score
2019-02-11,2019-02-14,CALL,10950.0,31.346950000000003,13.829225000000001,2019-02-12,stop,-17.517725000000002,-0.558833475027076,10930.900390625,4,2
2019-02-25,2019-02-28,CALL,10800.0,107.310725,58.512100000000004,2019-02-27,stop,-48.798625,-0.4547413597289553,10813.25,4,2
2019-03-11,2019-03-14,CALL,11050.0,129.59410000000003,250.573575,2019-03-12,target,120.97947499999998,0.9335261018827242,11068.75,6,0
2019-05-27,2019-05-30,CALL,11850.0,110.46545,42.785725000000006,2019-05-29,stop,-67.67972499999999,-0.6126777648576998,11855.5,5,1
2019-06-10,2019-06-13,CALL,11950.0,38.25730000000001,11.732375000000001,2019-06-12,stop,-26.524925000000007,-0.6933297697432909,11934.900390625,4,2
2019-06-17,2019-06-20,PUT,11850.0,174.4613,17.973000000000003,2019-06-20,stop,-156.48829999999998,-0.8969800179180138,11844.0,2,4
2019-07-08,2019-07-11,PUT,11750.0,200.40015,161.65715,2019-07-11,expiry,-38.742999999999995,-0.19332819860663775,11770.400390625,2,4
2019-07-15,2019-07-18,PUT,11600.0,61.8927,20.66895,2019-07-16,stop,-41.223749999999995,-0.666051893034235,11614.75,2,4
2019-07-29,2019-08-01,PUT,11300.0,120.28015,222.56565,2019-07-30,target,102.2855,0.8503938513545252,11307.5,2,4
2019-09-23,2019-09-26,CALL,11550.0,122.032775,12.980500000000001,2019-09-25,stop,-109.052275,-0.8936310347773374,11542.7001953125,6,0
2019-09-30,2019-10-03,CALL,11500.0,56.935275000000004,15.277050000000001,2019-10-01,stop,-41.658225,-0.7316768909959599,11491.150390625,5,1
2019-11-04,2019-11-07,CALL,11950.0,63.69540000000001,61.257975,2019-11-07,expiry,-2.4374250000000046,-0.03826689211465827,11928.900390625,5,1
2019-11-18,2019-11-21,CALL,11900.0,62.243225,70.59395,2019-11-21,expiry,8.350725000000004,0.13416279442461415,11915.150390625,4,2
