n_signals,combo,n,acc,avg_ret_pct,p_value,acc_pre2022,acc_post2022,stability
5,bin_adx_14+bin_pcr_vs_avg+bin_crude_oil_ret5+bin_rsi_5+bin_above_ema200,22,0.7727272727272727,0.22113430433646422,0.007103198332730017,0.7272727272727273,0.8181818181818182,0.09090909090909094
5,bin_adx_14+bin_pcr_vs_avg+bin_stoch_5+bin_rsi_5+bin_above_ema200,43,0.7674418604651163,0.3551595973478838,0.0001836108412699635,0.7272727272727273,0.8095238095238095,0.08225108225108224
5,bin_adx_14+bin_gap_pct+bin_pcr_vs_avg+bin_rsi_5+bin_above_ema200,29,0.7586206896551724,0.3493533611064334,0.003422310121904478,0.7058823529411765,0.8333333333333334,0.12745098039215685
5,bin_gap_pct+bin_pcr_vs_avg+bin_crude_oil_ret10+bin_rsi_5+bin_pcr,37,0.7567567567567568,0.3683670285172025,0.0009763090038785765,0.6818181818181818,0.8666666666666667,0.18484848484848493
5,bin_adx_14+bin_pcr_vs_avg+bin_rsi_5+bin_above_ema200+bin_consec_up,48,0.75,0.271435615416211,0.00025412741520068665,0.68,0.8260869565217391,0.1460869565217391
5,bin_adx_14+bin_pcr_vs_avg+bin_crude_oil_ret5+bin_gap_up+bin_above_ema200,28,0.75,0.2524838929056123,0.0057457126426857545,0.7142857142857143,0.7857142857142857,0.0714285714285714
5,bin_adx_14+bin_pcr_vs_avg+bin_crude_oil_ret10+bin_rsi_5+bin_gap_up,24,0.75,0.1406502026178642,0.010922496295950358,0.6666666666666666,0.8333333333333334,0.16666666666666674
5,bin_adx_14+bin_pcr_vs_avg+bin_crude_oil_ret10+bin_rsi_5+bin_pcr,24,0.75,0.28691195493361266,0.010922496295950358,0.6428571428571429,0.9,0.2571428571428571
5,bin_adx_14+bin_pcr_vs_avg+bin_rsi_5+bin_above_ema200+bin_prior_week_bull,48,0.75,0.271435615416211,0.00025412741520068665,0.68,0.8260869565217391,0.1460869565217391
4,bin_adx_14+bin_pcr_vs_avg+bin_rsi_5+bin_above_ema200,48,0.75,0.271435615416211,0.00025412741520068665,0.68,0.8260869565217391,0.1460869565217391
5,bin_pcr_vs_avg+bin_crude_oil_ret10+bin_rsi_5+bin_gap_up+bin_pcr,43,0.7441860465116279,0.2362671503955101,0.0007702396366418129,0.7307692307692307,0.7647058823529411,0.0339366515837104
5,bin_pcr_vs_avg+bin_crude_oil_ret10+bin_crude_oil_ret5+bin_rsi_5+bin_pcr,43,0.7441860465116279,0.2653521676729534,0.0007702396366418095,0.7037037037037037,0.8125,0.10879629629629628
5,bin_adx_14+bin_pcr_vs_avg+bin_rsi_5+bin_gap_up+bin_above_ema200,35,0.7428571428571429,0.2549947959697899,0.0026730191767408446,0.7058823529411765,0.7777777777777778,0.07189542483660127
5,bin_pcr_vs_avg+bin_stoch_5+bin_crude_oil_ret10+bin_rsi_5+bin_pcr,50,0.74,0.3316539962264129,0.00036469443839491915,0.7,0.8,0.10000000000000009
5,bin_pcr_vs_avg+bin_crude_oil_ret10+bin_rsi_5+bin_prior_week_bull+bin_pcr,52,0.7307692307692307,0.28143723019754907,0.0005041544874788437,0.6875,0.8,0.11250000000000004
4,bin_pcr_vs_avg+bin_crude_oil_ret10+bin_rsi_5+bin_pcr,52,0.7307692307692307,0.28143723019754907,0.0005041544874788437,0.6875,0.8,0.11250000000000004
5,bin_pcr_vs_avg+bin_crude_oil_ret10+bin_rsi_5+bin_consec_up+bin_pcr,52,0.7307692307692307,0.28143723019754907,0.0005041544874788437,0.6875,0.8,0.11250000000000004
5,bin_adx_14+bin_gap_pct+bin_pcr_vs_avg+bin_stoch_5+bin_above_ema200,37,0.7297297297297297,0.31864946763534996,0.003709286867721023,0.7083333333333334,0.7692307692307693,0.0608974358974359
5,bin_adx_14+bin_pcr_vs_avg+bin_stoch_5+bin_above_ema200+bin_consec_up,55,0.7272727272727273,0.36430467386435095,0.00043281133381331495,0.6896551724137931,0.7692307692307693,0.07957559681697612
5,bin_adx_14+bin_gap_pct+bin_pcr_vs_avg+bin_crude_oil_ret10+bin_rsi_5,22,0.7272727272727273,0.41918155140267177,0.029328876961785502,0.6428571428571429,0.875,0.2321428571428571
5,bin_adx_14+bin_pcr_vs_avg+bin_stoch_5+bin_above_ema200+bin_prior_week_bull,55,0.7272727272727273,0.36430467386435095,0.00043281133381331495,0.6896551724137931,0.7692307692307693,0.07957559681697612
5,bin_adx_14+bin_pcr_vs_avg+bin_crude_oil_ret10+bin_rsi_5+bin_above_ema200,22,0.7272727272727273,0.11485528426039458,0.029328876961785502,0.6153846153846154,0.8888888888888888,0.2735042735042734
5,bin_adx_14+bin_pcr_vs_avg+bin_crude_oil_ret5+bin_above_ema200+bin_consec_up,29,0.7241379310344828,0.26332466378000147,0.012976733286437558,0.6666666666666666,0.7857142857142857,0.11904761904761907
5,bin_adx_14+bin_pcr_vs_avg+bin_crude_oil_ret5+bin_above_ema200+bin_prior_week_bull,29,0.7241379310344828,0.26332466378000147,0.012976733286437558,0.6666666666666666,0.7857142857142857,0.11904761904761907
5,bin_pcr_vs_avg+bin_crude_oil_ret10+bin_rsi_5+bin_above_ema200+bin_pcr,47,0.723404255319149,0.21734619536590624,0.0014547118819077441,0.6896551724137931,0.7777777777777778,0.08812260536398464
5,bin_pcr_vs_avg+bin_crude_oil_ret5+bin_rsi_5+bin_gap_up+bin_pcr,50,0.72,0.24769251187218644,0.001234162565915835,0.7241379310344828,0.7142857142857143,0.009852216748768461
