entry_date,exit_date,entry_spot,strike,entry_prem,exit_prem,exit_reason,pnl_pct,gates
2010-02-17,2010-03-15,77.33000183105469,77.33000183105469,6.291057139165282,3.112219236138113,profit_target,0.04110743343795695,vix_ok+vrp_ok+atr_ok+mom_ok
2010-04-01,2010-04-23,84.87000274658203,84.87000274658203,5.709218317705222,2.8040492275784104,profit_target,0.03423081178401177,vix_ok+vrp_ok+atr_ok+mom_ok
2010-05-03,2010-05-14,86.19000244140625,86.19000244140625,5.983845685690369,11.967691371380738,stop,-0.06942621552607928,vix_ok+vrp_ok+atr_ok+mom_ok
2010-08-02,2010-08-31,81.33999633789062,81.33999633789062,5.915789580450401,9.419998168945312,expiry,-0.04308100253580348,vix_ok+vrp_ok+atr_ok+mom_ok
2010-09-01,2010-09-28,73.91000366210938,73.91000366210938,5.651743035729645,2.8047606114509183,profit_target,0.03851958169687194,vix_ok+vrp_ok+atr_ok+mom_ok
2010-10-01,2010-10-26,81.58000183105469,81.58000183105469,5.71618418086446,2.758067823554555,profit_target,0.03626031246525239,vix_ok+vrp_ok+atr_ok+mom_ok
2010-11-01,2010-11-24,82.94999694824219,82.94999694824219,6.263102552166465,2.636091863866696,profit_target,0.043725266084854636,vix_ok+vrp_ok+atr_ok+mom_ok
2011-01-03,2011-01-31,91.55000305175781,91.55000305175781,5.942301778760353,2.3598791083792534,profit_target,0.03913077608916928,vix_ok+vrp_ok+atr_ok+mom_ok
2011-05-02,2011-05-06,113.5199966430664,113.5199966430664,8.308290214369102,16.616580428738203,stop,-0.07318790045856258,vix_ok+vrp_ok+atr_ok+mom_ok
2012-02-01,2012-03-02,97.61000061035156,97.61000061035156,7.224471401052611,9.089996337890625,expiry,-0.019112026689611296,vix_ok+vrp_ok+atr_ok+mom_ok
2012-03-01,2012-03-21,108.83999633789062,108.83999633789062,8.31028425755163,4.031125861214889,profit_target,0.03931604686067993,vix_ok+vrp_ok+atr_ok+mom_ok
2012-04-02,2012-04-25,105.2300033569336,105.2300033569336,6.8905783045500755,3.1253854484102774,profit_target,0.03578060188184637,vix_ok+vrp_ok+atr_ok+mom_ok
2012-05-01,2012-05-16,106.16000366210938,106.16000366210938,6.138282203693656,12.276564407387312,stop,-0.05782104363175085,vix_ok+vrp_ok+atr_ok+mom_ok
2012-08-01,2012-08-30,88.91000366210938,88.91000366210938,6.947631273004703,5.709999084472656,expiry,0.013920055534307509,vix_ok+vrp_ok+atr_ok+mom_ok
2012-09-04,2012-10-01,95.30000305175781,95.30000305175781,7.366083417324795,3.2295941581175462,profit_target,0.04340492263112211,vix_ok+vrp_ok+atr_ok+mom_ok
2012-10-01,2012-11-01,92.4800033569336,92.4800033569336,6.991145691774179,5.390007019042969,expiry,0.017313350071490523,vix_ok+vrp_ok+atr_ok+mom_ok
2013-01-02,2013-02-01,93.12000274658203,93.12000274658203,5.956640037008512,4.649993896484375,expiry,0.014031852469764853,vix_ok+vrp_ok+atr_ok+mom_ok
